date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
2020-06-02 00:00:00+00:00,184.91,185.0,181.35,184.25,30794585,182.0680280553,182.1566448014,178.562743431,181.4181719171,30794585,0.0,1.0
2020-06-03 00:00:00+00:00,185.36,185.94,183.58,184.82,27311016,182.5111117859,183.0821974831,180.7584694738,181.9794113092,27311016,0.0,1.0
2020-06-04 00:00:00+00:00,182.92,185.84,182.3,184.3,28761809,180.1086133355,182.9837344319,179.4981424178,181.4674034427,28761809,0.0,1.0
2020-06-05 00:00:00+00:00,187.2,187.73,182.01,182.62,39893643,184.3228319288,184.8446861004,179.2125995692,179.8132241818,39893643,0.0,1.0
2020-06-08 00:00:00+00:00,188.36,188.55,184.44,185.94,33211590,185.4650033232,185.6520831206,181.6052517145,183.0821974831,33211590,0.0,1.0
2020-06-09 00:00:00+00:00,189.8,190.7,187.26,188.0,29783916,186.8828712611,187.7690387223,184.3819097595,185.1105363387,29783916,0.0,1.0
2020-06-10 00:00:00+00:00,196.84,198.52,191.01,191.13,43872329,193.8146700687,195.4688493296,188.0742741812,188.1924298427,43872329,0.0,1.0
2020-06-11 00:00:00+00:00,186.27,195.76,186.07,193.13,52854672,183.4071255522,192.7512691153,183.2101994497,190.1616908676,52854672,0.0,1.0
2020-06-12 00:00:00+00:00,187.74,191.72,185.18,190.54,43373587,184.8545324055,188.773361845,182.3338782937,187.6114978403,43373587,0.0,1.0
2020-06-15 00:00:00+00:00,188.94,190.82,184.01,184.58,32770189,186.0360890204,187.8871943838,181.1818605941,181.7430999862,32770189,0.0,1.0
2020-06-16 00:00:00+00:00,193.57,195.58,191.46,192.89,42556656,190.594928293,192.574035623,188.5173579118,189.9253795446,42556656,0.0,1.0
2020-06-17 00:00:00+00:00,194.24,196.32,193.69,195.03,25687822,191.2546307364,193.3026622022,190.7130839545,192.0324888412,25687822,0.0,1.0
2020-06-18 00:00:00+00:00,196.32,196.49,194.0,194.0,23061648,193.3026622022,193.4700493894,191.0183194134,191.0183194134,23061648,0.0,1.0
2020-06-19 00:00:00+00:00,195.15,199.29,194.37,198.59,44441141,192.1506445027,196.2270148242,191.382632703,195.5377734655,44441141,0.0,1.0
2020-06-22 00:00:00+00:00,200.57,200.76,195.23,195.79,32818929,197.4873418801,197.6744216775,192.2294149437,192.7808080307,32818929,0.0,1.0
